movie,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Raiders of the Lost Ark (1981),0.24133305,0.34186122,-0.15042049,-0.22467734,0.17713112,0.42129627,0.055792782,-0.096565634,0.052350584,0.46942866,-0.31843838,-0.3606974,-0.058553807,0.27559903,0.40015587,0.31796095,-0.31872514,0.19280973,-0.44754177,-0.3927952,-0.04089749,-0.35437554,-0.24458258,0.1357487,-0.23096994,0.10104429,-0.18273188,-0.05702432,0.31580183,0.41139993,-0.28986916,0.4227759,-0.24913584,-0.15916441,0.07552344,-0.30249748,-0.6099699,0.118216425,-0.117321506,0.16564013
"Godfather, The (1972)",-0.33373928,0.17946337,-0.54317695,0.19131842,0.32218832,0.27031803,-0.30507275,-0.26570433,-0.092810676,0.42533812,0.028478887,-0.30871472,0.04794702,0.08883272,0.18043517,0.0646481,-0.35675335,0.25034747,-0.117434,-0.122665,-0.051620573,0.1117188,-0.20422785,-0.26110584,-0.002288783,0.32630733,-0.25322548,-0.35246092,0.10358331,0.26283273,0.3340788,0.22938049,-0.24445507,-0.08290546,0.27025193,-0.079810694,-0.09711026,0.21220307,0.26628765,0.20123118
Pulp Fiction (1994),-0.47302797,0.15609321,-0.13083369,0.012738519,0.35630283,-0.00614942,-0.1758887,-0.26262748,-0.22321896,0.2939632,0.07721427,-0.18061136,-0.07415034,0.18564256,0.45633882,0.1812052,-0.24344137,0.036077086,-0.29426858,0.16502339,0.529914,0.037160356,-0.3036633,-0.43794203,-0.037202194,0.34287447,-0.30459526,0.006747969,0.30075386,0.2123615,0.1942763,0.35482183,0.13996476,-0.13001025,-0.12316392,-0.16009103,-0.26632768,0.34356493,0.31819686,0.006379175
Twelve Monkeys (1995),-0.16172911,-0.05472265,0.045776285,0.15742081,0.29735854,0.16401431,-0.17978472,-0.08280273,-0.02007343,0.18869865,0.08375928,0.299624,0.22383483,0.25540337,0.03501233,0.053364657,-0.06330933,-0.07407771,-0.3455436,0.2634233,0.026857633,-0.2160351,-0.13138019,-0.019626698,0.12756523,-0.15831925,-0.22253928,0.023542287,0.18423787,0.22633214,-0.2477979,0.31450036,0.008739189,-0.15167953,0.1260997,-0.44993818,-0.325206,0.20139135,0.12639023,0.3060282
"Silence of the Lambs, The (1991)",-0.0473124,0.30181533,-0.24147256,0.18441123,0.113399,0.26278374,-0.19987845,-0.12539037,-0.15099388,0.14361928,-0.26858872,-0.4091274,0.071957104,0.07551798,0.45235506,0.2735114,-0.14701357,-0.00042084666,-0.21007182,-0.42440376,0.10323989,-0.18735054,-0.09375211,-0.10878788,-0.08874308,0.21963704,-0.29231414,0.032607593,0.15448843,0.102441534,0.2767622,0.11413442,0.253348,0.53558844,0.04938756,-0.035457946,-0.07638081,0.19702172,-0.07595686,0.12232226
Jerry Maguire (1996),-0.5958575,0.03177198,-0.13611002,0.11565106,-0.18011814,0.19599213,0.25746745,0.00059873756,-0.15829529,0.23640344,-0.38636637,-0.33363372,-0.04469835,-0.28892517,0.21716085,0.29230675,-0.09070681,-0.13192415,-0.13563439,-0.3192149,0.05677186,-0.041087825,-0.045099974,0.2776923,-0.17623611,0.1938661,-0.014670464,-0.48690546,0.115985796,0.13004237,-0.12212059,0.12561719,0.15421511,-0.12868634,-0.020161714,-0.12041237,-0.036714975,0.21342383,-0.18920097,0.138298
Chasing Amy (1997),-0.2705059,-0.06201549,-0.10497855,0.42780846,-0.08143632,-0.4088463,-0.26203915,-0.20014372,-0.3735037,0.4434903,0.080315754,0.15981165,0.30474523,0.09742506,0.3571698,-0.043068003,-0.35051227,0.17143022,-0.34967476,0.3978566,0.010377945,0.3305337,-0.14663479,-0.046054225,0.39651042,0.42237929,-0.35298708,0.17530371,0.5905278,-0.002577109,-0.07367815,0.3605272,0.18008992,-0.08230458,-0.12124444,-0.3636209,-0.30448455,0.32436907,-0.009257153,0.044961486
"Rock, The (1996)",-0.29001784,-0.13410376,-0.036527947,0.070372924,0.25827384,-0.03474589,0.29425478,0.10324048,0.09104512,0.2757406,-0.4789278,-0.10621371,-0.1021391,0.33704266,0.1188574,0.02688002,-0.17350109,0.050443824,-0.31214917,0.31089988,0.05220354,-0.25736824,0.30918962,0.19538988,-0.07031933,0.27421066,-0.03869115,0.4100911,-0.025717484,0.23462418,-0.30385777,0.032656584,0.2943402,0.08661908,0.03177058,0.04996245,-0.23551878,0.025873857,-0.311719,0.080679186
"Empire Strikes Back, The (1980)",0.48034254,0.12632641,-0.2128314,0.095360115,0.2249319,0.063831225,-0.0386522,-0.20552833,0.13502154,0.4571717,-0.16361754,-0.44676137,-0.07522184,0.20904936,0.49086815,0.4576885,-0.35118043,0.18801159,-0.48556054,-0.18609428,-0.024646563,-0.36421183,-0.43598592,-0.018071327,-0.29150224,0.1784157,-0.2162208,-0.04462665,0.29992676,0.46291164,-0.2342939,0.6103711,-0.35389134,-0.2513671,0.13270153,-0.13863005,-0.40509403,-0.008945408,0.050507814,0.2754612
Star Trek: First Contact (1996),0.2517546,-0.029142344,-0.061994303,-0.0810741,0.19877511,0.24756578,0.08829277,0.13866158,-0.09368277,0.0059755812,-0.085144006,0.08880064,0.030374426,0.30004123,0.2164022,0.15445358,-0.21038572,-0.011315709,-0.44975913,-0.05142848,0.13771482,-0.19472001,-0.08925449,0.3226255,-0.59820163,0.06000552,0.15925138,0.39579034,0.032753658,-0.040383358,-0.2705665,0.32550052,0.21515094,0.217979,0.101628415,0.03184399,-0.13268659,-0.11962811,-0.17473702,0.27268925
Back to the Future (1985),-0.0331775,0.21483742,-0.19734035,-0.18144761,0.08676892,0.27382705,0.24016204,0.1673399,-0.24008521,0.30229726,-0.33409503,-0.2681022,0.048696514,-0.18610151,0.29264116,0.120873235,-0.14390358,0.047046397,-0.29757595,-0.28917903,0.028199736,-0.11039882,-0.13757826,0.015077325,-0.21152277,0.3386679,-0.11696931,-0.0975423,0.2634363,0.14759743,-0.29113096,0.40976915,0.05960843,-0.14899768,0.15885751,-0.14039494,-0.08410119,0.016294101,-0.33945882,0.16491993
Titanic (1997),-0.09508815,0.23943079,-0.26023078,0.11197975,-0.11534347,0.5177958,-0.041671094,0.038347002,0.08937237,0.43768775,-0.47436696,-0.18143196,0.21820956,0.0061690947,0.4371302,0.30146173,-0.042610228,0.19107659,-0.3593036,-0.1826394,-0.30771166,-0.34696403,0.2736244,0.4032912,-0.3273928,0.17542955,-0.12658626,-0.36151394,0.21599829,0.29451117,-0.21979332,0.08117052,0.033549696,0.15578306,0.12696235,0.1667552,-0.42146137,0.15246318,0.05632313,0.031050311
Mission: Impossible (1996),-0.26749706,0.007681229,-0.20857969,0.05684174,0.004154121,-0.011075918,0.36245114,0.28067803,0.027279751,0.09472917,-0.20270781,-0.14751993,-0.3271927,-0.009708125,-0.014396247,0.16434789,0.034537964,-0.14748202,-0.06342648,-0.05203786,0.25340894,0.12652203,0.09282853,0.33167514,-0.30200472,-0.025682006,0.20660488,-0.17349653,0.02416098,0.24944538,-0.14278606,0.13282998,0.16052836,0.0089627635,0.084391,0.022864519,-0.16799417,0.13524485,-0.28650182,0.21629183
"Fugitive, The (1993)",-0.18684469,0.34485197,-0.24291123,0.20071253,0.15926665,0.27923983,0.29502302,0.1987473,-0.16148293,0.1995351,-0.46823883,-0.33483785,-0.12017997,0.036130235,0.34395584,0.083659716,-0.038444992,-0.08146104,-0.27509183,-0.3289745,0.13715486,-0.19398011,-0.15993275,0.055976804,-0.2644336,0.124121524,0.056431346,0.15776083,0.10454795,0.14257507,0.011030369,0.084857725,0.09778943,0.06027162,-0.0336939,0.24775238,-0.16051228,0.06979658,-0.28993714,0.17289484
Indiana Jones and the Last Crusade (1989),-0.044207953,0.10487109,-0.08115172,-0.0062544215,0.11229673,0.065763,0.17824362,0.06733838,0.09056894,0.3366481,-0.4746243,-0.15109329,-0.024250278,0.1222006,0.09090695,0.30979043,-0.18164967,0.14114629,-0.43263677,-0.1185896,-0.2761658,-0.3773588,-0.1139408,0.04674998,-0.15514913,0.06097606,0.007564664,0.051484462,0.22550371,0.22704868,-0.31301677,0.2246142,-0.11881078,-0.28532678,0.17492066,-0.15634978,-0.28125083,0.037704375,-0.2836945,0.16114517
Willy Wonka and the Chocolate Factory (1971),0.10160502,0.24238287,0.11718636,-0.042338364,-0.003722863,-0.2728341,-0.14344983,-0.34911877,-0.16230747,-0.046548616,-0.05386694,-0.116877556,-0.27953777,0.22868098,0.4903701,-0.23948044,0.0051561515,0.20272309,-0.23230042,-0.2609779,-0.04042527,0.13301316,-0.35814354,-0.1852077,-0.32228804,0.16035174,-0.3074383,-0.12725697,0.22102898,0.119004525,-0.007650579,0.25639963,0.020934867,0.048749402,0.0420381,0.085632056,-0.3532617,0.13046892,0.018913457,0.14497852
"Princess Bride, The (1987)",0.4149658,0.16432703,0.08812339,0.011718753,0.058466025,0.025140647,-0.2055748,-0.2515813,-0.11518417,0.124706894,0.14454646,0.039779358,0.06440161,0.31292942,0.36541072,0.4506088,-0.22112693,0.31632107,-0.31824288,-0.29201666,-0.03121144,-0.4947141,-0.31192577,-0.10938293,-0.38925204,-0.11499169,-0.46099117,-0.17591558,0.36012045,0.14859325,-0.20932227,0.33517396,-0.025549816,-0.059992157,0.3546856,-0.3208345,-0.23467723,0.056993555,-0.24816796,0.2946129
Forrest Gump (1994),-6.5218126e-05,0.19317327,-0.1686628,-0.03830325,-0.21411341,0.40492567,0.013970595,-0.14326638,0.021258637,0.17176409,-0.45921323,-0.62694466,0.08288308,0.06701986,0.2996377,-0.005564097,-0.4297758,0.12488868,-0.114051744,-0.34803575,0.11988298,-0.2625933,0.030665696,0.15442808,-0.095868915,0.25475016,-0.23852362,-0.027808959,-0.2007908,0.27765504,0.19254261,0.1011637,0.111812174,-0.08655731,-0.15314674,0.063158594,-0.20650579,0.17787132,-0.2227085,0.114703305
Monty Python and the Holy Grail (1974),0.05515645,0.22651194,-0.05666118,0.19317283,0.22718225,-0.00021845037,-0.18389323,-0.3576809,-0.31944627,0.15033479,0.22904927,0.06684026,-0.20881875,0.37930116,0.28294075,0.5232557,-0.3390339,0.14502369,-0.14337732,-0.17005864,-0.052978475,-0.27475354,-0.36100218,-0.3387118,-0.07211446,-0.09713838,-0.19410042,0.2900397,0.23206282,-0.05692494,-0.055967726,0.22056654,0.053012263,-0.2353799,0.31098402,-0.28292915,-0.045998234,0.027049234,0.0037397207,0.23665333
"Saint, The (1997)",-0.009412981,-0.0769697,0.1371641,-0.17357703,0.07622864,-0.18986095,0.2533499,0.17036158,0.3851275,0.12922612,-0.16981041,-0.21594538,-0.26046047,0.10067235,-0.31755456,0.09121535,-0.25013694,0.19001439,-0.17462613,0.044904783,-0.26072374,-0.06944903,0.1366942,0.311767,-0.40782315,0.13560909,0.16665994,0.39286202,-0.043438524,0.2451929,-0.36654955,-0.0696736,0.14990877,-0.38869834,-0.10593433,-0.2418944,-0.103024185,0.13776271,-0.24463235,0.012871299
"Full Monty, The (1997)",-0.054514844,0.15214516,-0.01345938,0.32995355,-0.09823112,0.24581209,-0.3163645,-0.42343524,-0.18483424,-0.1507749,-0.086935535,0.10137942,-0.25001115,-0.022985464,0.12926744,0.27348468,0.38127896,-0.19019978,-0.2707945,-0.113442905,-0.06273627,0.068229064,-0.2185647,-0.29273376,-0.15367536,-0.13080944,-0.04652072,0.20136617,0.23338178,-0.07449912,0.37585792,0.19943354,0.4084965,0.0053539514,0.040446907,-0.053120483,-0.14685823,0.09772649,-0.22598669,-0.1840206
Men in Black (1997),0.022340763,-0.008722206,-0.16043086,0.2598264,0.095149636,0.34075707,0.12249745,0.10295876,-0.14591227,0.28493312,-0.25757086,-0.1375316,-0.35229245,0.011166562,0.11129211,0.18798067,-0.06360346,-0.071876556,-0.22320454,0.015672168,0.05515891,-0.13696198,-0.00937667,-0.07282286,-0.12470947,0.11037874,0.12993278,-0.12670927,-0.022159766,0.1591959,-0.26821566,0.18696685,-0.17436516,-0.12846434,0.22754395,-0.20441686,-0.1667625,-0.013383955,-0.31677747,0.1483224
"Terminator, The (1984)",0.053639397,0.27064633,-0.25902045,-0.28900605,0.46975628,0.04282808,0.12605856,-0.04348092,0.0048285853,0.24119659,-0.21453637,-0.29726142,0.04475054,0.39172179,0.39156684,0.26660532,-0.36508712,0.037720475,-0.23453799,0.11168999,0.23038146,-0.18387206,-0.1855192,0.10521716,-0.10349234,0.07203812,-0.16227445,0.07248525,-0.09776127,0.16159828,-0.32464227,0.31169522,0.12098788,-0.28453425,0.1173801,-0.046855558,-0.22136554,-0.13168208,0.017446667,0.45621037
E.T. the Extra-Terrestrial (1982),-0.07889632,0.29965708,-0.26349115,0.23853166,-0.15742183,0.40890816,0.10817464,-0.1864847,-0.17714722,0.20837066,-0.32213265,-0.33476493,-0.089169584,-0.36176184,0.2548417,-0.11001734,-0.18576668,0.30314422,0.048198123,-0.18469983,-0.24383774,-0.0018508368,-0.09170323,0.23688425,-0.036382575,0.23436669,-0.20346045,-0.4100488,0.24998154,0.24485286,0.2177115,0.3285401,-0.20138015,0.188439,0.15944235,-0.27096522,-0.19749694,0.2352876,-0.20506081,-0.0021865568
Dead Man Walking (1995),-0.4097961,0.24156319,-0.23110056,0.47867775,0.15425505,0.07664822,-0.38836423,-0.20137659,-0.26694152,0.11087553,0.09241758,0.0966109,-0.038998414,-0.22846827,0.040008023,0.22361289,0.08126519,0.16704044,-0.025798516,-0.19532646,0.084961414,0.049082126,-0.29694963,-0.23588331,0.101344146,0.15376793,-0.20900705,-0.05389757,0.17532074,0.0569608,0.25072956,0.13506706,0.18018094,-0.112708606,0.088698745,-0.28287014,-0.12586275,0.21333615,-0.15251599,0.14742339
Schindler's List (1993),-0.06632455,0.4750393,-0.20527919,0.25065264,-0.2745945,0.3237194,-0.22713506,-0.2311509,0.036791656,0.18644425,-0.46341783,-0.527496,-0.089881435,-0.024756191,0.34229556,0.07972895,-0.31519333,0.050236713,-0.35303506,-0.055355504,-0.11118098,-0.20002039,-0.34144008,0.009398164,-0.18575002,0.26388377,-0.32510945,0.15873334,0.12935556,0.42660305,0.1961585,0.16359256,0.19324169,-0.0055605383,0.0496226,-0.24522121,-0.20106179,0.22434002,-0.33068883,0.1739112
Leaving Las Vegas (1995),-0.24376482,0.0994007,-0.23546849,0.20839636,0.2647935,-0.14739664,-0.35640302,-0.3072844,-0.23610991,0.25971225,0.13164899,-0.13080962,0.12021898,0.011611098,0.062304292,0.313618,0.018617293,0.07629782,-0.070912756,0.06479094,0.06323041,0.36086446,-0.12167253,-0.1895796,0.056089595,0.39198598,-0.2548003,-0.20467839,0.3677712,-0.054095052,0.19171177,0.17526361,-0.24420221,0.14768088,0.24753743,-0.07826456,-0.039366845,0.25742093,0.2145305,-0.2860129
Braveheart (1995),-0.20515767,0.16808419,-0.014348269,0.14521058,0.031328704,0.26986364,0.021258365,-0.0713075,0.035861008,0.28240678,-0.62959886,-0.35196736,0.012593252,0.17096609,0.3342596,0.14166628,-0.17074805,0.19516322,-0.4583999,-0.42247525,-0.12428014,-0.31976062,0.09345798,0.31958932,-0.33669895,0.24771011,-0.25779977,0.21210381,0.39689013,0.28424016,-0.16388512,0.18883543,0.16533338,0.009119505,0.0291869,-0.09787073,-0.3776907,0.21078558,-0.20731026,0.13698296
L.A. Confidential (1997),-0.21080002,0.19707926,-0.14235282,-0.027480552,0.006379079,0.2895178,-0.22917506,-0.14957471,0.00994538,0.20188598,-0.017054545,0.0031358527,-0.20856424,0.3260059,0.23943827,0.21612181,0.057411242,-0.3848912,-0.31260735,-0.08181941,-0.04495487,0.09393021,-0.2710867,-0.35362038,-0.20129746,0.02660896,-0.13308205,0.0069785314,0.2043104,0.16696276,0.045785174,0.22857983,0.23358738,0.19547337,0.16716345,-0.06302189,-0.17653552,0.011408298,-0.080572024,0.2663605
Terminator 2: Judgment Day (1991),0.005974445,0.022212075,-0.17481564,0.021493211,0.21885242,0.19543259,0.23616719,0.1153749,-0.16581486,0.37154585,-0.32709923,-0.33476987,-0.15476722,0.14284112,0.47147462,0.35159054,-0.48122495,-0.027975244,-0.3976422,0.10165458,0.30618387,-0.30122653,0.005479265,0.082447186,-0.19813669,0.02610486,-0.13263066,0.0819371,0.18341534,0.064551584,-0.26494974,0.33607385,-0.1594522,0.0319879,0.1279538,-0.06128456,-0.40348396,-0.024716815,-0.31336904,0.018301658
Conspiracy Theory (1997),0.11567944,-0.13495454,0.11510567,-0.002752425,0.019224731,0.28931695,-0.009517132,0.07947716,0.19225697,0.055016357,-0.21587981,-0.22387516,-0.06781172,0.116536655,-0.051771034,-0.16818652,-0.24808644,-0.06441499,-0.36049327,-0.15875441,-0.25491202,-0.18937005,0.1156899,0.2989593,-0.31008977,0.30638522,0.14164779,0.3533545,-0.11448057,0.061887827,-0.3339992,-0.20868585,0.17853847,-0.47149026,-0.21459927,-0.16179168,-0.24295053,0.22187153,-0.280882,0.25455713
Mr. Holland's Opus (1995),0.04798536,0.1553826,-0.08697154,0.1698293,-0.4242842,0.24444267,0.10533295,-0.09175242,-0.10544401,0.02213107,-0.485321,-0.18576063,0.17350404,-0.030837357,0.36414286,0.25123686,0.114044085,0.07122549,-0.222623,-0.10344597,-0.18523897,-0.20844536,0.27748728,0.21707028,-0.4256319,0.15393804,-0.12250227,0.21168081,0.27759564,0.06292386,0.05503433,0.02897468,0.2794982,-0.043836225,0.10236107,-0.167098,-0.10830255,0.1420313,-0.27083755,0.049666714
"Birdcage, The (1996)",-0.18173207,-0.06199336,0.010618399,0.3776409,-0.14681616,-0.11499558,-0.18768911,-0.3636865,-0.20516883,0.16306743,-0.0751928,0.23845565,-0.23088475,-0.28661665,0.083737224,0.2167725,-0.18628202,-0.16714124,-0.36995634,-0.120324984,-0.12017774,-0.21530685,0.1874194,0.079994105,-0.17444049,0.11092157,-0.04491642,-0.05118971,-0.07143321,-0.061689507,0.23628286,0.031268932,0.14863287,0.050366864,0.24058351,-0.09145498,-0.26064864,0.25153935,-0.28018835,-0.31170884
Twister (1996),-0.05653489,-0.18224184,-0.16591322,-0.101482905,-0.12028394,0.25891668,0.4012753,0.36785796,-0.21563141,0.36010027,-0.3309099,-0.16644788,-0.04680962,0.12277393,-0.100612365,-0.16470638,-0.2541901,0.0756474,-0.20345463,0.08780533,-0.0071529895,-0.10049382,0.44208193,0.359468,-0.23338468,0.25564536,0.20980027,0.042192668,-0.28857753,0.1666465,-0.2799755,0.15615155,0.027061626,0.08831273,0.22995651,-0.08364025,-0.18111856,-0.11116658,0.08896629,0.028859876
Alien (1979),0.1394739,0.23385456,-0.4319409,-0.104856126,0.54736185,0.04570482,-0.2424501,-0.12496279,-0.009705204,0.2747804,0.13045308,-0.24564935,0.006070375,0.36050782,0.13907434,0.5031158,-0.17585595,0.13567674,-0.23150897,-0.14669268,-0.09223145,-0.18875052,-0.10492412,0.08116018,-0.14864242,0.109389625,-0.16627756,0.12596567,-0.11049126,0.049529683,-0.0831328,0.19225003,0.076553024,0.49273437,0.18517452,0.10786267,-0.32363907,0.08743418,0.2015371,0.39140794
When Harry Met Sally... (1989),-0.12993984,0.12827544,-0.04949291,0.26487336,-0.16734622,0.25493702,-0.12378766,-0.15543652,-0.23078398,0.12908976,-0.37415746,-0.20854425,0.023603948,-0.030005202,0.22135396,0.04736242,-0.23126394,0.039631154,-0.15074514,-0.22001003,-0.28934464,-0.49330124,-0.102053724,-0.09654204,-0.28378773,0.0376288,-0.18974012,-0.21740001,0.14089435,0.13467574,0.29670984,0.027453696,0.13413523,0.16293576,0.063058645,0.04217739,0.0051404038,0.2432109,-0.24799259,0.05322694
Aliens (1986),0.049319446,0.04699504,-0.029728299,-0.12969123,0.32085142,0.041714504,-0.22271404,-0.044224117,0.062709324,0.31149703,-0.10176547,-0.27967924,-0.024966372,0.254277,0.15672635,0.43151388,-0.1550242,0.15890336,-0.36775243,-0.1942663,0.11321709,-0.30106494,-0.07595048,-0.068696104,-0.12911175,0.20721905,-0.057277016,-0.013562228,0.047528483,0.0030932238,-0.19108742,0.3191823,0.10179879,0.27842468,-0.026101304,0.15342812,-0.36157686,0.1254477,-0.025436299,0.05347736
"Shawshank Redemption, The (1994)",-0.2343949,0.082674466,-0.15992796,0.0070934645,-0.04933118,0.2355091,-0.04533459,-0.16710836,-0.18097152,0.3135373,-0.455346,-0.27601358,-0.08442018,0.30661276,0.1930104,0.0030319355,-0.34435934,0.33293936,-0.43430197,-0.26641053,-0.17387529,-0.32310826,-0.06900539,-0.06578064,-0.29456005,0.29487476,-0.12059754,0.045466553,0.11725821,0.09514708,0.13411899,0.18119258,0.21415697,0.1582554,0.2647207,-0.12952904,-0.3128148,0.22708689,0.032053597,0.25018662
Groundhog Day (1993),0.19641994,0.21397777,-0.061533254,-0.19558522,0.09428806,0.060301125,0.12008092,-0.12545875,-0.16411959,0.07326352,-0.025114058,-0.35001057,-0.1852755,0.15253797,0.26936543,0.044496156,-0.284116,0.22265075,-0.027309535,-0.2125862,0.17929284,0.05263105,-0.30721375,-0.056982897,-0.15445843,0.34776852,-0.23483473,0.043820966,0.22047953,0.1162973,-0.30065,0.21664388,-0.043046646,0.0849289,0.11302161,-0.19051366,-0.14177197,0.117016904,-0.4865265,0.16539995
Jaws (1975),-0.19840711,0.25112724,-0.1534808,-0.17137942,0.084210016,0.034677986,-0.038920306,0.09973992,0.026812173,0.3399673,-0.14171872,-0.35932043,-0.1654398,0.06690184,0.2742912,0.2840275,-0.008868537,0.038677704,-0.22156475,-0.42310157,-0.118214995,-0.16764098,-0.12325488,-0.22509952,-0.19152798,0.033689,-0.26423636,-0.31680587,0.10232832,0.28207555,-0.031414844,0.2496187,0.026554774,0.2742528,-0.13191257,0.046283662,-0.1789434,-0.010625755,-0.048273563,0.27418387
