book_id,original_title,language_code,adult,adult-fiction,adventure,book-club,contemporary,fantasy,fiction,mystery,romance,young-adult
49,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,0,0,0,0,0,1,1,0,0,1
50,City of Bones,eng,0,0,1,0,1,1,1,1,1,1
51,Eclipse,en-US,0,0,0,0,1,1,1,0,1,1
52,Eragon,en-US,0,0,1,0,0,1,1,0,1,1
53,The Hitchhiker's Guide to the Galaxy,en-US,1,1,1,1,1,1,1,0,0,1
54,Brave New World,eng,1,1,0,1,0,1,1,0,0,1
55,Breaking Dawn,en-US,0,0,1,1,1,1,1,0,1,1
56,The Secret Life of Bees,en-US,1,1,0,1,1,0,1,0,1,1
57,The Adventures of Huckleberry Finn,eng,1,1,1,1,0,0,1,0,0,1
58,Charlotte's Web,eng,0,0,1,0,0,1,1,0,0,1
59,The Curious Incident of the Dog in the Night-Time,eng,1,1,0,1,0,0,1,1,0,1
60,The Girl on the Train,eng,1,1,0,1,1,0,1,1,0,0
61,Northern Lights,eng,0,0,1,1,0,1,1,1,0,1
62,Wuthering Heights,eng,1,1,0,1,0,0,1,0,1,0
63,My Sister's Keeper,eng,1,1,0,1,1,0,1,0,1,1
64,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,1,1,0,1,1,1,1,0,0,0
65,Gone with the Wind,eng,1,1,0,1,0,0,1,0,1,0
66,A Thousand Splendid Suns,eng,1,1,0,1,1,0,1,0,1,1
67,The Perks of Being a Wallflower,eng,0,0,0,1,1,0,1,0,0,1
68,Insurgent,eng,0,0,1,1,0,1,1,0,1,1
69,Ender's Game,eng,1,1,1,1,0,1,1,0,0,1
70,"Frankenstein; or, The Modern Prometheus",eng,1,1,0,1,0,1,1,1,0,0
71,The Shining,eng,1,1,0,1,1,1,1,1,0,0
72,The Host,en-US,1,1,1,1,1,1,1,0,1,1
73,Looking for Alaska,eng,0,0,0,1,1,0,1,1,1,1
74,,eng,1,1,0,1,1,0,1,0,1,0
75,Sense and Sensibility,eng,1,1,0,1,0,0,1,0,0,0
76,Holes,eng,0,0,1,1,1,1,1,1,0,1
77,The Devil Wears Prada,eng,1,1,0,1,1,0,1,0,1,1
78,Ὀδύσσεια,eng,1,1,1,0,0,1,1,0,0,0
79,Le Petit Prince,eng,0,0,1,1,0,1,1,0,0,1
80,The Glass Castle,eng,1,1,0,1,1,0,1,0,0,1
81,Into the Wild,eng,1,0,1,1,1,0,1,0,0,1
82,A Tale of Two Cities,eng,1,1,0,1,0,0,1,0,1,1
83,Jurassic Park,spa,1,1,1,1,1,1,1,1,0,1
84,The Giving Tree,eng,0,0,0,0,0,1,1,0,0,1
85,A Time to Kill,eng,1,1,0,1,1,0,1,1,0,0
86,Un di Velt Hot Geshvign,eng,1,0,0,1,1,0,1,0,0,1
87,Paper Towns,en-US,0,0,1,1,1,0,1,1,1,1
88,The Princess Bride,en-US,0,1,0,0,1,0,0,0,0,0
89,The Outsiders,en-US,0,0,1,1,1,0,1,0,0,1
90,The Maze Runner,eng,0,0,1,1,0,1,1,1,1,1
91,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,1,0,0,1,1,0,1,0,0,0
92,The Secret Garden,eng,0,0,1,1,0,1,1,1,0,1
93,Cien años de soledad,eng,1,1,0,1,1,0,1,0,1,0
94,The Picture of Dorian Gray,eng,1,1,0,1,0,1,1,1,0,0
95,Fifty Shades Freed,eng,1,1,0,1,1,1,1,0,1,0
96,Dracula,eng,1,1,1,1,0,1,1,1,1,0
97,Flickan som lekte med elden,eng,1,1,1,1,1,0,1,1,0,0
98,Fifty Shades Darker,eng,1,0,0,0,1,0,1,0,1,1
99,The Poisonwood Bible,eng,1,1,1,1,1,0,1,0,0,0
100,Me Talk Pretty One Day,eng,1,1,0,1,1,0,1,0,0,0
101,Where the Wild Things Are,eng,0,0,1,0,0,1,1,0,0,1
102,Le Comte de Monte-Cristo,eng,1,1,1,1,0,1,1,1,1,0
103,The Road,eng,1,1,0,1,1,1,1,0,0,0
104,Allegiant,eng,0,0,1,1,0,1,1,0,1,1
105,Bossypants,eng,1,0,0,1,1,0,1,0,0,0
106,A Walk to Remember,en-US,1,1,0,1,1,0,1,0,1,0
107,Confessions of a Shopaholic,eng,0,1,0,1,1,0,1,0,1,1
108,Les Misérables,eng,1,1,0,1,0,0,1,0,1,0
109,A Clash of Kings,eng,1,1,1,0,0,1,1,0,0,0
110,The Memory Keeper's Daughter,eng,1,1,0,1,1,0,1,1,1,1
111,Me Before You,eng,1,0,0,1,1,0,1,0,1,0
112,Catch-22,en-US,1,1,0,1,1,0,1,0,0,0
113,Tuesdays with Morrie,eng,1,1,0,1,1,0,1,0,0,1
114,Middlesex,en-US,1,1,0,1,1,0,1,0,0,0
115,The Adventures of Tom Sawyer,eng,1,1,1,0,0,0,1,0,0,1
116,A Wrinkle in Time,en-US,0,0,1,1,0,1,1,0,0,1
117,The Joy Luck Club,eng,1,1,0,1,1,0,1,0,1,1
118,The Handmaid's Tale,eng,1,1,0,1,1,1,1,0,0,0
119,The Sisterhood of the Traveling Pants,eng,0,0,1,1,1,0,1,0,1,1
120,Lolita,eng,0,1,0,1,1,0,1,0,1,0
121,Wicked: The Life and Times of the Wicked Witch of the West,eng,1,1,1,1,1,1,1,0,1,1
122,The Firm,eng,1,1,1,0,1,0,1,1,0,0
123,Room,eng,1,1,0,1,1,0,1,1,0,1
124,"The Tragicall Historie of Hamlet, Prince of Denmark",eng,1,1,0,0,0,1,1,0,1,0
125,Dune,eng,1,1,1,1,0,1,1,0,0,0
126,The Tipping Point: How Little Things Can Make a Big Difference,eng,1,0,0,1,0,0,1,0,0,0
127,Steve Jobs,eng,1,0,0,1,0,0,0,0,0,0
128,One Flew Over the Cuckoo's Nest,eng,1,1,0,1,1,0,1,0,0,0
129,The Old Man and the Sea,eng,1,1,1,1,0,0,1,0,0,1
130,The Grapes of Wrath,eng,1,1,0,1,0,0,1,0,0,1
131,The Five People You Meet in Heaven,,0,0,0,1,1,0,1,0,1,1
132,Anne of Green Gables,eng,0,0,0,1,0,0,1,0,1,1
133,City of Glass,en-US,0,0,0,0,1,1,1,0,0,1
134,A Storm of Swords,eng,1,1,1,0,1,1,1,0,1,0
135,Divine Secrets of the Ya-Ya Sisterhood,en-US,1,1,0,1,1,0,1,0,1,1
136,Outlander,eng,1,1,1,1,0,1,1,0,1,0
137,The Scarlet Letter,eng,1,1,0,1,0,0,0,0,1,1
138,Miss Peregrine’s Home for Peculiar Children,en-US,0,0,1,1,1,1,1,1,1,1
139,Luftslottet som sprängdes,en-US,1,1,1,1,1,0,1,1,0,0
140,The Martian,eng,1,1,1,1,1,1,0,0,0,0
141,The Pillars of the Earth,eng,1,1,1,1,1,1,1,1,1,0
142,,eng,1,1,0,1,1,0,1,0,0,1
143,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,1,0,1,1,0,0,1,0,0,0
144,Deception Point,eng,1,1,1,1,1,1,1,1,1,0
145,The Goldfinch,eng,1,1,0,1,1,0,1,1,0,0
146,Thirteen Reasons Why,eng,0,0,0,1,1,0,1,0,1,1
147,Girl with a Pearl Earring,eng,1,1,0,1,1,0,1,0,1,1
148,If I Stay,en-US,0,0,0,1,1,1,1,0,1,1
149,The Red Tent,en-US,0,0,0,1,1,1,1,0,0,0
150,The Sea of Monsters,eng,0,0,1,0,1,1,1,0,1,1
151,Dear John,en-US,1,1,0,1,1,0,1,0,1,1
152,City of Ashes,eng,0,0,1,0,1,1,1,0,1,1
153,The Tragedy of Macbeth,eng,1,1,0,0,0,1,1,0,0,1
154,The Two Towers,en-US,1,1,1,0,0,1,1,0,0,1
155,Something Borrowed,eng,1,1,0,1,1,0,1,0,1,1
156,Green Eggs and Ham,en-US,0,0,0,0,0,1,1,0,0,1
157,Charlie and the Chocolate Factory,eng,0,0,1,0,0,0,1,0,0,1
158,The Battle of the Labyrinth,eng,0,0,1,0,1,1,1,1,1,1
159,Great Expectations,eng,1,1,0,1,0,0,1,0,1,1
160,The Return of the King,en-US,1,1,1,0,0,1,1,0,0,1
161,L’Étranger,eng,1,1,0,1,1,0,1,0,0,0
162,The Lost Hero,eng,0,0,1,0,0,1,1,1,1,1
163,Eleanor & Park,eng,0,0,0,1,1,0,1,0,1,1
164,A Feast for Crows,en-US,1,1,1,0,1,1,1,0,0,0
165,Matched,eng,0,0,1,1,0,1,1,0,1,1
166,American Gods,eng,1,1,1,1,1,1,1,1,0,0
167,The Stand,en-US,1,1,1,1,1,1,1,1,0,0
168,The Last Song,en-GB,1,1,0,1,1,0,1,0,1,1
169,Digital Fortress,en-GB,1,1,1,0,1,1,1,1,1,0
170,Emma,eng,1,1,0,1,0,0,1,0,1,0
171,Анна Каренина,eng,1,1,0,1,0,0,1,0,1,0
172,A Clockwork Orange,eng,1,1,0,1,0,1,1,1,0,1
173,The Shack: Where Tragedy Confronts Eternity,eng,1,1,0,1,1,1,1,1,0,0
174,The Last Olympian,eng,0,0,1,0,1,1,1,0,1,1
175,It,en-US,1,1,1,0,1,1,1,1,0,0
176,Преступление и наказание,eng,1,1,0,1,0,0,1,1,0,0
177,The Bell Jar,en-US,1,0,0,1,1,0,1,0,0,0
178,Angela's Ashes: A Memoir,eng,1,1,0,1,1,0,1,0,0,0
179,Siddhartha,eng,1,1,0,1,0,0,1,0,0,0
180,In Cold Blood,eng,1,1,0,1,1,0,1,1,0,0
181,Beautiful Creatures,eng,0,0,0,1,1,1,1,1,1,1
182,Clockwork Angel,eng,0,0,1,0,0,1,1,1,1,1
183,Matilda,eng,0,0,1,0,1,1,1,0,0,1
184,The Night Circus,eng,1,1,1,1,1,1,1,1,1,1
185,The Other Boleyn Girl,eng,1,1,0,1,1,0,1,0,1,1
186,Uglies,eng,0,0,1,1,0,1,1,0,1,1
187,A Dance with Dragons,eng,1,1,1,0,1,1,1,0,0,0
188,The Lord of the Rings,eng,1,1,1,0,0,1,1,0,0,1
189,Wild: From Lost to Found on the Pacific Crest Trail ,eng,1,0,1,1,1,0,1,0,0,0
190,Watchmen,en-US,1,1,1,1,1,1,1,1,0,0
191,The Name of the Wind,eng,1,1,1,1,0,1,1,0,1,1
192,Outliers: The Story of Success,en-US,1,0,0,1,1,0,0,0,0,0
193,"Moby Dick; or, The Whale",eng,1,1,1,1,0,1,1,0,0,0
194,The Guernsey Literary and Potato Peel Pie Society,eng,1,1,0,1,1,0,1,0,1,0
195,Fight Club,eng,1,1,1,1,1,1,1,1,0,0
196,Dead Until Dark,en-US,1,1,0,1,1,1,1,1,1,1
197,The Color Purple,eng,1,1,0,1,0,0,1,0,0,0
198,Marley & Me: Life and Love with the World's Worst Dog,eng,1,1,0,1,1,0,1,0,1,1
199,Ten Little Niggers,eng,1,1,0,1,0,0,1,1,0,1
200,The Lost Symbol,eng,1,1,1,1,1,1,1,1,0,0
201,"Hush, Hush",en-US,0,0,0,0,1,1,1,1,1,1
202,Beautiful Disaster,eng,1,1,0,1,1,0,1,0,1,1
203,A Christmas Carol,,1,1,0,1,0,1,1,0,0,1
204,Interview with the Vampire,eng,1,1,0,1,1,1,1,1,1,0
205,The Selection,en-US,0,0,0,1,0,1,1,0,1,1
206,One for the Money,en-US,1,1,1,1,1,0,1,1,1,0
207,The Immortal Life of Henrietta Lacks,eng,1,0,0,1,1,0,1,0,0,0
208,The Silence of the Lambs,eng,1,1,0,0,1,0,1,1,0,0
209,,en-US,0,0,0,0,1,0,0,0,0,0
210,Blink: The Power of Thinking Without Thinking,en-US,1,0,0,1,0,0,1,0,0,0
211,Atonement,eng,1,1,0,1,1,0,1,1,1,0
212,Die Verwandlung,eng,1,1,0,0,0,1,1,0,0,0
213,The Titan's Curse,eng,0,0,1,0,1,1,1,1,1,1
214,,eng,1,1,1,1,1,1,1,1,1,1
215,The Art of Racing in the Rain,eng,1,1,0,1,1,1,1,0,0,1
216,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",eng,1,0,0,1,0,0,1,1,0,0
217,Bared to You,eng,1,1,0,1,1,0,1,0,1,0
218,The Chronicles of Narnia,eng,0,0,0,0,0,0,1,0,0,1
219,Twilight: The Complete Illustrated Movie Companion,en-US,0,0,0,0,0,1,1,0,1,1
220,"A Child Called ""It"": One Child's Courage to Survive",eng,1,0,0,1,1,0,1,0,0,1
221,The Bourne Identity,eng,1,1,1,0,1,0,1,1,0,0
222,Artemis Fowl,eng,0,0,1,0,1,1,1,1,0,1
223,Fallen,en-US,0,0,0,0,1,1,1,1,1,1
224,East of Eden  ,eng,1,1,0,1,0,0,1,0,0,0
225,Dark Places,eng,1,1,0,1,1,0,1,1,0,0
226,The Client,eng,1,1,1,0,1,0,1,1,0,0
227,The Nanny Diaries,eng,1,1,0,1,1,0,1,0,1,1
228,Alice's Adventures in Wonderland,eng,0,0,1,1,0,1,1,0,0,1
229,Persuasion,eng,1,1,0,1,0,0,1,0,1,0
230,Elle s'appelait Sarah,eng,1,1,0,1,1,0,1,1,0,1
231,The Gunslinger,en-US,1,1,1,1,0,1,1,1,0,0
232,El amor en los tiempos del cólera,eng,1,1,0,0,0,1,1,0,1,0
233,Speak,eng,0,0,0,1,1,0,1,0,0,1
234,The Husband's Secret ,eng,1,1,0,1,1,0,1,1,0,0
235,Into Thin Air: A Personal Account of the Mt. Everest Disaster,en-US,1,0,1,1,1,0,0,0,0,0
236,Carrie,,1,1,0,1,1,1,1,1,0,1
237,Running with Scissors,en-US,1,1,0,1,1,0,1,0,0,1
238,World War Z: An Oral History of the Zombie War,en-US,1,1,1,1,1,1,1,0,0,1
239,Inferno,eng,1,1,1,1,1,1,1,1,0,0
240,Number the Stars,eng,0,0,0,1,0,0,1,0,0,1
241,Along Came a Spider,eng,1,1,0,1,1,0,1,1,0,0
242,Misery,en-GB,1,1,0,1,1,1,1,1,0,0
243,Sharp Objects,en-US,1,1,0,1,1,0,1,1,0,0
244,Bridge to Terabithia,eng,0,0,1,1,1,1,1,0,0,1
245,Marked,en-US,0,0,0,0,1,1,1,1,1,1
247,A Midsummer Night's Dream,eng,1,1,0,0,0,1,1,0,1,0
248,Extremely Loud and Incredibly Close,en-US,1,1,1,1,1,0,1,1,0,1
249,Wonder,eng,0,0,0,1,1,0,1,0,0,1
250,The Cat in the Hat,eng,0,0,0,0,0,1,1,0,0,1
251,Cinder,eng,0,0,1,1,0,1,1,0,1,1
252,The Cuckoo's Calling,en-US,1,1,0,1,1,0,1,1,0,0
253,Shiver,eng,0,0,0,0,1,1,1,0,1,1
254,Atlas Shrugged,eng,1,1,0,1,1,1,1,1,1,0
255,Three Cups of Tea ,en-US,1,0,1,1,1,0,1,0,0,0
256,,eng,0,0,1,1,0,1,1,0,0,1
257,La sombra del viento,eng,1,1,1,1,1,1,1,1,1,0
258,The Scorch Trials,eng,0,0,1,0,0,1,1,1,1,1
259,How to Win Friends and Influence People,eng,0,0,0,1,0,0,0,0,0,0
260,Under the Tuscan Sun,eng,1,1,1,1,1,0,1,0,1,0
261,Big Little Lies,eng,1,1,0,1,1,0,1,1,1,0
262,Ella Enchanted,eng,0,0,1,0,0,1,1,0,1,1
263,The Sun Also Rises,en-US,1,1,0,1,0,0,1,0,1,0
264,A Tree Grows In Brooklyn ,eng,1,1,0,1,1,0,1,0,0,1
265,Kiss the Girls,eng,1,1,1,0,1,0,1,1,0,0
266,The Nightingale,eng,1,1,0,1,1,0,1,0,1,0
267,Never Let Me Go,eng,1,1,0,1,1,1,1,1,1,1
268,"PS, I Love You",en-US,1,1,0,1,1,0,1,0,1,1
269,Rebecca,en-US,1,1,0,1,0,0,1,1,1,0
270,Flowers for Algernon,en-US,1,1,0,1,1,1,1,0,1,1
271,Como agua para chocolate,en-US,1,1,0,1,1,1,1,0,1,0
272,Snow Flower and the Secret Fan,eng,1,1,0,1,1,0,1,0,1,1
273,The Godfather,eng,1,1,0,1,1,0,1,1,0,0
274,An Abundance of Katherines,eng,0,0,1,1,1,0,1,0,1,1
275,Foundation,eng,1,1,0,1,0,1,1,0,0,0
276,The Ocean at the End of the Lane,eng,1,1,1,1,1,1,1,0,0,1
277,A Light in the Attic,eng,0,0,0,0,0,1,1,0,0,1
278,"Harry Potter and the Cursed Child, Parts One and Two",eng,1,0,1,1,1,1,1,1,0,1
279,Delirium,eng,0,0,1,1,0,1,1,0,1,1
280,The Pelican Brief,eng,1,1,1,0,1,0,1,1,0,0
281,Coraline,eng,0,0,1,1,1,1,1,1,0,1
282,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US,1,1,1,1,1,1,1,0,0,1
283,On the Road,eng,1,1,1,1,1,0,1,0,0,0
284,The Rosie Project,eng,1,1,0,1,1,0,1,0,1,0
285,The Lucky One,en-US,1,1,0,1,1,0,1,0,1,1
286,The Fountainhead,eng,1,1,0,1,1,0,1,0,1,0
287,The Hunt for Red October,,1,1,1,0,1,0,1,1,0,0
288,Watership Down,eng,1,1,1,1,0,1,1,0,0,1
289,Is Everyone Hanging Out Without Me? (And Other Concerns),eng,1,0,0,1,1,0,1,0,0,0
290,Cutting for Stone,eng,1,1,0,1,1,0,1,0,0,0
291,The Voyage of the Dawn Treader,eng,0,0,1,0,0,1,0,0,0,1
292,Treasure Island,eng,0,0,1,1,0,1,1,0,0,1
293,The Son of Neptune ,eng,0,0,1,0,1,1,1,0,1,1
294,11/22/63,eng,1,1,1,1,1,1,1,1,1,0
295,The Very Hungry Caterpillar,eng,0,0,0,0,0,1,1,0,0,0
296,Cat's Cradle,eng,1,1,0,1,1,1,1,0,0,0
297,The Time Machine,eng,1,1,1,1,0,1,1,0,0,1
298,,eng,0,0,0,0,0,0,0,0,0,1
299,The Boy in the Striped Pyjamas,eng,1,0,0,1,1,0,1,0,0,1
300,Heart of Darkness,eng,1,1,1,1,0,0,1,0,0,0
301,Safe Haven,eng,1,1,0,1,1,0,1,1,1,1
302,The Secret,eng,1,0,0,1,1,0,1,0,0,0
303,I Know This Much Is True ,eng,1,1,0,1,1,0,1,0,0,0
304,Pet Sematary,eng,1,1,0,0,1,1,1,1,0,0
305,She's Come Undone,en-US,1,1,0,1,1,0,1,0,1,1
306,The Wise Man's Fear,eng,1,1,1,0,0,1,1,0,1,1
307,Can You Keep a Secret?,en-US,1,1,0,1,1,0,1,0,1,1
308,City of Fallen Angels,en-US,0,0,1,0,1,1,1,0,1,1
309,Good in Bed,en-US,1,1,0,1,1,0,1,0,1,0
310,The Thorn Birds,eng,1,0,0,1,1,0,1,0,1,0
311,The Graveyard Book,en-US,0,0,1,1,1,1,1,1,0,1
312,The Light Between Oceans,eng,1,1,0,1,1,0,1,1,1,0
313,Tintenherz,en-US,0,0,1,0,1,1,1,1,1,1
314,Who Moved My Cheese?,eng,1,0,0,1,0,0,1,0,0,0
315,A Walk in the Woods,eng,1,0,1,1,1,0,1,0,0,0
316,I Know Why the Caged Bird Sings,en-US,1,1,0,1,1,0,1,0,0,1
317,Orphan Train,eng,1,1,0,1,1,0,1,0,0,1
318,City of Lost Souls,eng,0,0,1,0,1,1,1,0,1,1
319,"Where'd You Go, Bernadette",eng,1,1,1,1,1,0,1,1,0,1
320,Where the Red Fern Grows,,0,0,1,0,0,0,1,0,0,1
321,Neverwhere,eng,1,1,1,1,1,1,1,1,0,1
322,Nesnesitelná lehkost bytí,eng,1,1,0,1,1,0,1,0,1,0
323,,eng,0,0,0,1,1,0,1,0,1,1
324,A Prayer for Owen Meany,eng,1,1,0,1,1,0,1,0,0,0
325,White Oleander,eng,1,1,0,1,1,0,1,0,0,1
326,Legend,eng,0,0,1,1,0,1,1,1,1,1
327,Nineteen Minutes,eng,1,1,0,1,1,0,1,1,1,1
328,The Last Lecture,eng,1,0,0,1,1,0,1,0,0,0
329,The Eye of the World,eng,1,1,1,0,0,1,1,0,0,1
330,The Pact,en-US,1,1,0,1,1,0,1,1,1,1
331,The magician's nephew,eng,0,0,0,0,0,1,1,0,0,1
332,Still Alice,eng,1,1,0,1,1,0,1,0,0,0
333,Reflected in You,eng,1,1,0,0,1,0,1,0,1,0
334,James and the Giant Peach,eng,0,0,1,0,0,1,1,0,0,1
335,1st To Die,en-US,1,1,0,1,1,0,1,1,1,0
336,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,eng,1,1,1,0,1,1,1,0,0,1
337,One Day,eng,1,1,0,1,1,0,1,0,1,1
338,,en-US,0,0,0,0,0,1,1,0,0,1
339,I Am Number Four,en-US,0,0,1,1,1,1,1,1,1,1
340,Ἰλιάς,eng,1,1,1,0,0,1,1,0,0,0
341,The Casual Vacancy,eng,0,0,0,0,1,1,1,0,0,0
342,The Runaway Jury,eng,1,1,0,0,1,0,1,1,0,0
343,Naked,en-US,1,0,0,1,1,0,1,0,0,0
344,Eldest,en-US,1,0,1,0,0,1,1,0,1,1
345,The Wonderful Wizard of Oz,eng,0,0,1,1,0,1,1,0,0,1
346,Prince Caspian: The Return to Narnia,eng,0,0,1,0,0,1,0,0,0,0
347,We Were Liars,eng,0,0,0,1,0,0,1,1,1,0
348,Salem's Lot,en-GB,1,1,0,1,1,1,1,1,0,0
349,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,eng,1,1,1,1,1,0,1,0,0,0
350,Clockwork Prince,eng,0,0,1,0,0,1,1,1,1,1
351,Yes Please,eng,1,0,0,1,1,0,0,0,0,0
352,"The Tragedy of Othello, The Moor of Venice",eng,1,0,0,0,0,0,1,0,1,0
353,Beloved,eng,1,1,0,1,1,1,1,0,0,0
354,Graceling,en-CA,0,0,1,1,0,1,1,1,1,1
355,The Bad Beginning,eng,0,0,1,0,0,1,1,1,0,1
356,Im Westen nichts Neues,en-US,1,1,0,1,0,0,1,0,0,1
357,"Oh, the Places You'll Go!",en-US,0,0,1,0,0,1,1,0,0,1
358,And The Mountains Echoed,eng,1,1,0,1,1,0,1,0,0,0
359,Do Androids Dream of Electric Sheep?,eng,1,1,1,1,0,1,1,1,0,0
360,Oliver Twist,eng,1,1,1,1,0,0,1,0,0,1
361,A Grief Observed,eng,1,1,0,1,0,1,1,0,0,0
362,Anna and the French Kiss,en-US,0,0,0,1,1,0,1,0,1,1
363,How the Grinch Stole Christmas!,eng,0,0,0,0,0,1,1,0,0,1
364,V for Vendetta,eng,1,1,1,1,1,1,1,1,0,0
365,John Adams,eng,1,0,0,1,0,0,0,0,0,0
366,Odd Thomas,eng,1,1,1,1,1,1,1,1,1,0
367,The Subtle Knife,eng,1,0,1,0,0,1,1,0,1,1
368,Stargirl,eng,0,0,0,1,1,0,1,0,1,1
369,The Red Pyramid,eng,0,0,1,0,1,1,1,1,1,1
370,Stranger in a Strange Land,eng,1,1,0,1,0,1,1,0,0,0
371,Dress Your Family in Corduroy and Denim,eng,1,0,0,1,1,0,1,0,0,0
372,The BFG,eng,0,0,1,0,0,1,1,0,0,0
373,A Short History of Nearly Everything,en-US,1,0,0,1,0,0,1,0,0,0
374,The Call of the Wild,eng,1,1,1,0,0,1,1,0,0,1
375,The Death Cure,eng,0,0,1,0,0,1,1,1,1,1
376,Stardust,eng,1,1,1,1,1,1,1,0,1,1
377,The Namesake,en-US,1,1,0,0,0,0,1,0,0,0
378,A Discovery of Witches,eng,1,1,1,1,1,1,1,1,1,1
379,ノルウェイの森 [Noruwei no Mori],eng,1,1,0,1,1,1,1,0,1,1
380,Where the Heart Is,en-US,1,1,0,1,1,0,1,0,1,1
381,"Will Grayson, Will Grayson",eng,0,0,0,1,1,0,1,0,1,1
382,A Million Little Pieces,en-CA,1,1,0,1,1,0,1,0,0,0
383,Frostbite,eng,0,0,1,0,1,1,1,1,1,1
384,Quiet: The Power of Introverts in a World that Can't Stop Talking,eng,0,0,0,1,0,0,0,0,0,0
385,Island of the Blue Dolphins,en-CA,0,0,1,0,0,1,1,0,0,1
386,The Crucible,eng,1,1,0,1,0,0,1,0,0,1
387,Hatchet,en-US,0,0,1,0,1,0,1,0,0,1
388,Mistborn : The Final Empire,eng,1,1,1,1,0,1,1,0,1,1
389,The Strange Case of Dr Jekyll and Mr Hyde,eng,1,1,0,1,0,1,1,1,0,0
